accelerator,Model,Features,avg_mae,std_mae,avg_r2,std_r2,avg_train_time_sec,std_train_time_sec,avg_infer_time_sec,std_infer_time_sec,avg_peak_cpu,std_peak_cpu,avg_peak_memory_mb,std_peak_memory_mb,avg_peak_gpu_util,avg_peak_gpu_memory_mb,file,cpu_train_time,cpu_infer_time,speedup_train_vs_cpu,speedup_infer_vs_cpu
CPU,RF,Enhanced_2,39.766430832186295,1.2987847322310584,0.4212401800945528,0.0326594879511111,3.152368739400026,0.3561287696216141,0.0651649869999346,0.0253607703657786,713.4200000000001,41.74376600164388,4045.31015625,222.36081171430064,,,kfold_avg_CPU_20260129_181309.csv,3.152368739400026,0.061304648999976,1.0,0.9407605498338782
CPU,XGB,Baseline,43.946343908907735,1.4870670759044284,0.3051694981093147,0.0444573989653287,0.4505113901999721,0.4341857051645247,0.0083397930000046,0.0121028324754422,269.3,271.7008373192839,3975.35078125,204.0083921127491,,,kfold_avg_CPU_20260129_181309.csv,1.1778321322000012,0.0057886956001311,2.6144336365772847,0.6941054292508108
CPU,XGB,Enhanced,39.224923932157125,1.1209064145627177,0.4461169448176141,0.0449485773881463,0.4681875583999499,0.1107429071420855,0.0086136315999738,0.0112983013964465,275.88,293.9812442997002,3989.04375,248.81927366640224,,,kfold_avg_CPU_20260129_181309.csv,0.4681875583999499,0.004666969200025,1.0,0.5418120273496716
CPU,XGB,Enhanced_2,39.5373673675821,1.0472642419424694,0.4412492815509575,0.0413964670404317,0.4354273029999603,0.0212425096451266,0.0038547513999674,0.0002782588066807,125.02,156.40234013594554,4043.1796875,220.50445076392825,,,kfold_avg_CPU_20260129_181309.csv,0.4354273029999603,0.0038547513999674,1.0,1.0
GPU_NVIDIA_A100-SXM4-80GB,LSTM,Baseline,50.75069833216894,1.2477366205213618,0.0883248586422891,0.0350003713090072,16.654197691800004,2.1322487739283926,0.1024890775999892,0.0025205547364176,183.54,80.14226725018452,7058.17734375,373.5781834654924,40.0,5376.0,kfold_avg_GPU_NVIDIA_A100-SXM4-80GB_20260129_172523.csv,17.84455051499999,0.1287572463999822,1.0714746423231232,1.256302129115813
GPU_NVIDIA_A100-SXM4-80GB,LSTM,Enhanced,43.67441576745279,2.396113285505256,0.2961774195021605,0.0671989477710206,15.760990558599996,0.3079644011649064,0.0994994049999604,0.0017953510383128,190.74,77.04844579873107,7168.28515625,226.0418272556373,40.0,5547.0,kfold_avg_GPU_NVIDIA_A100-SXM4-80GB_20260129_172523.csv,17.904015518200005,0.1303511029999754,1.135970194997082,1.310069170765667
GPU_NVIDIA_A100-SXM4-80GB,LSTM,Enhanced_2,43.90090244205656,2.1392904333471576,0.2874838385623566,0.068809541378408,15.566192137600025,0.2058963772425719,0.0978455641999744,0.0004834697352293,183.76,50.9029272242766,7233.196875,223.60008251209135,40.4,5547.0,kfold_avg_GPU_NVIDIA_A100-SXM4-80GB_20260129_172523.csv,17.731048529600002,0.1306449068000802,1.1390742432615093,1.3352154271712442
GPU_NVIDIA_A100-SXM4-80GB,MLP,Baseline,55.87452826199166,1.3078656123690309,-0.0451267334697734,0.1355089813046437,0.6145600171999603,0.0391625308337866,0.0012974035999832,3.847558310516757e-05,179.2,170.80436177100395,6986.54453125,445.8064466079639,0.0,5360.0,kfold_avg_GPU_NVIDIA_A100-SXM4-80GB_20260129_172523.csv,0.7070906377999109,0.0014072222000777,1.150564010040119,1.0846449016296256
GPU_NVIDIA_A100-SXM4-80GB,MLP,Enhanced,41.17159113509587,1.770790201346605,0.3807349261841094,0.0464557423338952,0.6844021246000012,0.0682276847993116,0.0014264189999948,5.049073331970935e-05,215.02,56.38263917200046,7122.82421875,220.77402191964904,1.4,5543.8,kfold_avg_GPU_NVIDIA_A100-SXM4-80GB_20260129_172523.csv,0.7672539487999529,0.0015330594000261,1.121057228231684,1.0747609223038173
GPU_NVIDIA_A100-SXM4-80GB,MLP,Enhanced_2,41.12332122472672,2.219792737757948,0.3789372904962479,0.0632221279768732,0.7204386796000108,0.0503977310354175,0.0014407387999881,9.02018187301756e-05,132.78,64.291733527725,7175.9734375,220.94850793676991,0.0,5547.0,kfold_avg_GPU_NVIDIA_A100-SXM4-80GB_20260129_172523.csv,0.7814394345999517,0.0015322878000006,1.0846716823058538,1.0635430933166068
